时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2018-07-16,一",58.3,58.78,57.38,57.72,-1.40%,2.39%,"43,194,208","2,494,024,300",0.399,52435
"2018-07-17,二",57.9,58.26,57.42,58.02,0.52%,1.46%,"37,994,302","2,195,501,100",0.351,41572
"2018-07-18,三",58.28,59.11,57.75,57.81,-0.36%,2.34%,"46,448,505","2,717,273,900",0.429,53464
"2018-07-19,四",58.36,59.3,58.35,58.71,1.56%,1.64%,"70,369,903","4,143,173,500",0.65,73209
"2018-07-20,五",58.6,61.61,58.23,60.84,3.63%,5.76%,"106,935,078","6,433,573,500",0.987,109939
"2018-07-23,一",60.35,61.6,60.25,61.08,0.39%,2.22%,"80,457,337","4,898,411,200",0.743,72053
"2018-07-24,二",61.06,63,61.03,61.74,1.08%,3.23%,"83,684,707","5,207,884,900",0.773,99203
"2018-07-25,三",62.23,62.24,61.4,62.16,0.68%,1.36%,"40,900,624","2,529,701,200",0.378,44633
"2018-07-26,四",62.28,62.48,60.68,60.8,-2.19%,2.90%,"48,259,331","2,960,086,700",0.445,61436
"2018-07-27,五",60.98,61.33,60.57,60.87,0.12%,1.25%,"33,417,159","2,037,644,600",0.308,36163
"2018-07-30,一",60.9,61.92,60.75,61.56,1.13%,1.92%,"37,637,018","2,303,730,900",0.347,46564
"2018-07-31,二",61.6,61.89,60.82,61.6,0.06%,1.74%,"26,069,859","1,600,697,200",0.241,37646
"2018-08-01,三",61.8,62.41,59.62,59.7,-3.08%,4.53%,"56,343,432","3,440,050,600",0.52,69875
"2018-08-02,四",59.41,59.49,57.8,58.26,-2.41%,2.83%,"64,680,428","3,782,255,900",0.597,72664
"2018-08-03,五",58.43,58.76,57.78,57.82,-0.76%,1.68%,"36,208,330","2,109,021,400",0.334,43956
"2018-08-06,一",57.81,58.86,57.36,57.83,0.02%,2.59%,"41,978,566","2,438,442,800",0.388,42548
"2018-08-07,二",58.11,59.6,57.96,59.56,2.99%,2.84%,"56,186,121","3,306,492,600",0.519,62727
"2018-08-08,三",59.55,59.7,58.19,58.38,-1.98%,2.54%,"41,210,911","2,426,952,900",0.38,44018
"2018-08-09,四",58.38,60.99,58.18,60.62,3.84%,4.81%,"63,543,307","3,820,214,600",0.587,71954
"2018-08-10,五",60.56,60.96,59.83,60.44,-0.30%,1.86%,"34,904,151","2,108,590,700",0.322,47597
"2018-08-13,一",59.8,59.85,58.66,59.55,-1.47%,1.97%,"45,464,948","2,692,879,800",0.42,54143
"2018-08-14,二",59.56,59.72,58.58,59.05,-0.84%,1.91%,"30,874,067","1,824,184,800",0.285,39132
"2018-08-15,三",59.03,59.05,56.67,57.03,-3.42%,4.03%,"61,374,792","3,531,927,700",0.567,84573
"2018-08-16,四",56.38,57.95,55.88,56.98,-0.09%,3.63%,"47,507,498","2,710,351,700",0.439,62604
"2018-08-17,五",57.7,57.82,56.46,56.58,-0.70%,2.39%,"35,136,005","2,009,697,400",0.324,45142
"2018-08-20,一",56.94,57.82,56.76,57.81,2.17%,1.87%,"46,214,266","2,653,996,200",0.427,53157
"2018-08-21,二",57.86,59.65,57.86,59.42,2.78%,3.10%,"63,665,064","3,768,112,500",0.588,71012
"2018-08-22,三",61.28,61.5,60.37,60.93,2.54%,1.90%,"104,185,714","6,355,540,700",0.962,106721
"2018-08-23,四",61.01,62.38,61.01,62.13,1.97%,2.25%,"75,611,130","4,682,981,900",0.698,89254
"2018-08-24,五",61.7,63.33,61.5,62.47,0.55%,2.95%,"57,263,151","3,574,475,300",0.529,69519
"2018-08-27,一",63.08,63.68,62.72,63.47,1.60%,1.54%,"58,579,343","3,706,028,600",0.541,66557
"2018-08-28,二",63.8,63.84,62.6,62.9,-0.90%,1.95%,"42,494,421","2,683,512,100",0.392,56157
"2018-08-29,三",62.68,63.3,62.65,63.01,0.17%,1.03%,"27,892,679","1,757,300,900",0.257,39157
"2018-08-30,四",63.5,64.05,63.02,63.16,0.24%,1.63%,"45,849,633","2,916,938,000",0.423,57686
"2018-08-31,五",62.4,63.43,62.2,62.98,-0.28%,1.95%,"52,111,400","3,273,908,700",0.481,57173
"2018-09-03,一",62.6,63,62.11,62.73,-0.40%,1.41%,"32,379,059","2,027,395,400",0.299,42098
"2018-09-04,二",62.85,64.93,62.54,64.8,3.30%,3.81%,"65,837,878","4,208,358,200",0.608,71108
"2018-09-05,三",64.41,64.64,62.8,62.8,-3.09%,2.84%,"50,743,718","3,235,414,300",0.468,64530
"2018-09-06,四",62.1,62.52,61.01,61.32,-2.36%,2.40%,"45,742,629","2,827,435,700",0.422,59572
"2018-09-07,五",61.88,63.5,61.6,62.78,2.38%,3.10%,"49,471,165","3,105,514,600",0.457,59440
"2018-09-10,一",62.6,62.87,61.6,62.03,-1.19%,2.02%,"32,339,001","2,008,532,800",0.299,37087
"2018-09-11,二",62,62.58,61.25,61.68,-0.56%,2.14%,"34,707,057","2,147,831,300",0.32,43514
"2018-09-12,三",61.31,61.46,60.28,60.6,-1.75%,1.91%,"43,546,028","2,644,081,400",0.402,54226
"2018-09-13,四",61.78,62.4,61.01,62.4,2.97%,2.29%,"53,884,697","3,328,513,200",0.497,60911
"2018-09-14,五",62.57,63.76,62.42,63.3,1.44%,2.15%,"55,837,041","3,529,776,700",0.515,66510
"2018-09-17,一",62.3,63.18,62.25,62.51,-1.25%,1.47%,"26,959,587","1,686,602,300",0.249,38033
"2018-09-18,二",62.15,64.3,62.1,64.12,2.58%,3.52%,"63,556,933","4,033,820,500",0.587,67463
